0,1,2,3,4
0,0,1,0.05,0.008
1,1,2,0.0447212737743459,0.00606
2,1,3,0.0447212737743459,0.00606
3,2,4,0.0316227462754265,0.0046
4,2,5,0.0316227462754264,0.0046
5,3,6,0.0316227462754265,0.0046
6,3,7,0.0316227462754264,0.0046
7,4,8,0.0367420198818736,0.00348
8,4,9,0.0367420198818736,0.00348
9,5,10,0.0367420198818736,0.00348
10,5,11,0.0367420198818736,0.00348
11,6,12,0.0367420198818736,0.00348
12,6,13,0.0367420198818736,0.00348
13,7,14,0.0367420198818736,0.00348
14,7,15,0.0367420198818736,0.00348
15,8,16,0.0234527993211897,0.00264
16,8,17,0.0234527993211897,0.00264
17,9,18,0.0234527993211897,0.00264
18,9,19,0.0234527993211897,0.00264
19,10,20,0.0234527993211897,0.00264
20,10,21,0.0234527993211897,0.00264
21,11,22,0.0234527993211897,0.00264
22,11,23,0.0234527993211897,0.00264
23,12,24,0.0234527993211897,0.00264
24,12,25,0.0234527993211897,0.00264
25,13,26,0.0234527993211897,0.00264
26,13,27,0.0234527993211897,0.00264
27,14,28,0.0234527993211897,0.00264
28,14,29,0.0234527993211897,0.00264
29,15,30,0.0234527993211897,0.00264
30,15,31,0.0234527993211897,0.00264
