0,1,2,3,4
0,0,1,0.05,0.008
1,1,2,0.04472135954999579,0.00606
2,1,3,0.04472135954999579,0.00606
3,2,4,0.0316227766016838,0.0046
4,2,5,0.0316227766016838,0.0046
5,3,6,0.03162277660168379,0.0046
6,3,7,0.03162277660168379,0.0046
7,4,8,0.03674234614174768,0.00348
8,4,9,0.03674234614174768,0.00348
9,5,10,0.03674234614174767,0.00348
10,5,11,0.03674234614174767,0.00348
11,6,12,0.03674234614174768,0.00348
12,6,13,0.03674234614174768,0.00348
13,7,14,0.03674234614174767,0.00348
14,7,15,0.03674234614174767,0.00348
15,8,16,0.02345207879911714,0.00264
16,8,17,0.02345207879911714,0.00264
17,9,18,0.02345207879911713,0.00264
18,9,19,0.02345207879911713,0.00264
19,10,20,0.023452078799117138,0.00264
20,10,21,0.023452078799117138,0.00264
21,11,22,0.023452078799117128,0.00264
22,11,23,0.02345207879911713,0.00264
23,12,24,0.023452078799117152,0.00264
24,12,25,0.023452078799117152,0.00264
25,13,26,0.02345207879911714,0.00264
26,13,27,0.02345207879911714,0.00264
27,14,28,0.023452078799117145,0.00264
28,14,29,0.02345207879911715,0.00264
29,15,30,0.023452078799117138,0.00264
30,15,31,0.023452078799117138,0.00264
31,16,32,0.03316624790355399,0.002
32,16,33,0.03316624790355399,0.002
33,17,34,0.03316624790355399,0.002
34,17,35,0.03316624790355399,0.002
35,18,36,0.033166247903553984,0.002
36,18,37,0.033166247903553984,0.002
37,19,38,0.03316624790355399,0.002
38,19,39,0.03316624790355399,0.002
39,20,40,0.033166247903554,0.002
40,20,41,0.033166247903554,0.002
41,21,42,0.033166247903554,0.002
42,21,43,0.033166247903554,0.002
43,22,44,0.033166247903554,0.002
44,22,45,0.033166247903554,0.002
45,23,46,0.03316624790355399,0.002
46,23,47,0.03316624790355399,0.002
47,24,48,0.03316624790355399,0.002
48,24,49,0.03316624790355399,0.002
49,25,50,0.033166247903554,0.002
50,25,51,0.033166247903554,0.002
51,26,52,0.03316624790355399,0.002
52,26,53,0.03316624790355399,0.002
53,27,54,0.03316624790355399,0.002
54,27,55,0.03316624790355399,0.002
55,28,56,0.033166247903554005,0.002
56,28,57,0.033166247903554005,0.002
57,29,58,0.033166247903554,0.002
58,29,59,0.033166247903554,0.002
59,30,60,0.033166247903554,0.002
60,30,61,0.033166247903554,0.002
61,31,62,0.033166247903554,0.002
62,31,63,0.033166247903554,0.002
